Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.7,3,54
Singly Linked List,deallocate,11,2,0.5,4,30
Singly Linked List,initialize,13,8,5.4,4,3721
Singly Linked List,deallocate two,25,4,1.3,9,168
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,6318
Singly Linked List,intersection,FAIL,16,-,FAIL,5371
Sorted list,insert,FAIL,21,-,FAIL,1728
Sorted list,reverse,FAIL,9,-,FAIL,5620
Sorted list,merge,FAIL,23,-,FAIL,3748
Doubly Linked List,singleton,FAIL,13,-,FAIL,256
Doubly Linked List,append,FAIL,20,-,FAIL,3717
Doubly Linked List,delete,FAIL,18,-,FAIL,5154
List of Lists,flatten,FAIL,12,-,FAIL,5949
List of Lists,length,FAIL,12,-,FAIL,2188
Binary Tree,size,FAIL,13,-,FAIL,11386
Binary Tree,deallocate,16,2,0.9,6,82
Binary Tree,copy,FAIL,12,-,FAIL,5376
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5995
BST,insert,FAIL,21,-,FAIL,4144
BST,rotate left,FAIL,74,-,FAIL,4384
BST,delete root,FAIL,41,-,FAIL,2526
BST,from list,FAIL,15,-,FAIL,3046
Rose Tree,flatten,FAIL,10,-,FAIL,4850
Packed Tree,pack,FAIL,36,-,FAIL,2129
