Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,24
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,0.8,4,102
Singly Linked List,deallocate two,25,4,0.6,9,69
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,719
Singly Linked List,intersection,FAIL,16,-,FAIL,644
Sorted list,insert,FAIL,21,-,FAIL,75
Sorted list,reverse,FAIL,9,-,FAIL,273
Sorted list,merge,FAIL,23,-,FAIL,1912
Doubly Linked List,singleton,14,13,0.6,5,40
Doubly Linked List,append,FAIL,20,-,FAIL,1289
Doubly Linked List,delete,FAIL,18,-,FAIL,245
List of Lists,flatten,FAIL,12,-,FAIL,1153
List of Lists,length,FAIL,12,-,FAIL,1239
Binary Tree,size,FAIL,13,-,FAIL,129
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,FAIL,12,-,FAIL,136
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,2553
BST,insert,FAIL,21,-,FAIL,208
BST,rotate left,FAIL,74,-,FAIL,371
BST,delete root,FAIL,41,-,FAIL,2006
BST,from list,FAIL,15,-,FAIL,129
Rose Tree,flatten,FAIL,10,-,FAIL,152
Packed Tree,pack,FAIL,36,-,FAIL,3255
