Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.6,3,29
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,0.9,4,94
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,non-destructive append,63,21,8.1,21,2505
Singly Linked List,intersection,FAIL,16,-,FAIL,3056
Sorted list,insert,74,21,2.7,21,312
Sorted list,reverse,36,9,1.5,11,169
Sorted list,merge,FAIL,23,-,FAIL,1696
Doubly Linked List,singleton,14,13,0.5,5,35
Doubly Linked List,append,FAIL,20,-,FAIL,3904
Doubly Linked List,delete,67,18,5.0,19,920
List of Lists,flatten,57,12,1.5,19,237
List of Lists,length,73,12,8.6,23,2122
Binary Tree,size,32,13,1.3,9,239
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,FAIL,12,-,FAIL,4725
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4174
BST,insert,FAIL,21,-,FAIL,3289
BST,rotate left,15,74,7.9,5,1002
BST,delete root,FAIL,41,-,FAIL,1768
BST,from list,85,15,10.5,27,1213
Rose Tree,flatten,80,10,10.1,25,2922
Packed Tree,pack,FAIL,36,-,FAIL,2861
