Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.9,3,100
Singly Linked List,deallocate,11,2,0.5,4,44
Singly Linked List,initialize,13,8,8.2,4,5786
Singly Linked List,deallocate two,25,4,1.3,9,272
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,6317
Singly Linked List,intersection,FAIL,16,-,FAIL,6900
Sorted list,insert,FAIL,21,-,FAIL,1890
Sorted list,reverse,FAIL,9,-,FAIL,5459
Sorted list,merge,FAIL,23,-,FAIL,3985
Doubly Linked List,singleton,FAIL,13,-,FAIL,259
Doubly Linked List,append,FAIL,20,-,FAIL,5675
Doubly Linked List,delete,FAIL,18,-,FAIL,7202
List of Lists,flatten,FAIL,12,-,FAIL,4915
List of Lists,length,FAIL,12,-,FAIL,2562
Binary Tree,size,FAIL,13,-,FAIL,6910
Binary Tree,deallocate,16,2,0.9,6,121
Binary Tree,copy,FAIL,12,-,FAIL,8255
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5947
BST,insert,FAIL,21,-,FAIL,5562
BST,rotate left,FAIL,74,-,FAIL,5487
BST,delete root,FAIL,41,-,FAIL,2730
BST,from list,FAIL,15,-,FAIL,3149
Rose Tree,flatten,FAIL,10,-,FAIL,608
Packed Tree,pack,FAIL,36,-,FAIL,2378
