Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,26
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,0.9,4,96
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,non-destructive append,63,21,6.2,21,2454
Singly Linked List,intersection,FAIL,16,-,FAIL,3147
Sorted list,insert,FAIL,21,-,FAIL,74
Sorted list,reverse,36,9,1.3,11,186
Sorted list,merge,FAIL,23,-,FAIL,2099
Doubly Linked List,singleton,14,13,0.5,5,36
Doubly Linked List,append,FAIL,20,-,FAIL,4045
Doubly Linked List,delete,FAIL,18,-,FAIL,448
List of Lists,flatten,57,12,1.4,19,245
List of Lists,length,73,12,6.9,23,2194
Binary Tree,size,32,13,1.3,9,240
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,FAIL,12,-,FAIL,5161
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5085
BST,insert,FAIL,21,-,FAIL,203
BST,rotate left,15,74,5.8,5,1022
BST,delete root,54,41,13.0,18,2530
BST,from list,FAIL,15,-,FAIL,340
Rose Tree,flatten,80,10,9.0,25,2855
Packed Tree,pack,FAIL,36,-,FAIL,3014
