Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,0.9,4,95
Singly Linked List,deallocate two,25,4,0.7,9,69
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,647
Singly Linked List,intersection,FAIL,16,-,FAIL,432
Sorted list,insert,FAIL,21,-,FAIL,374
Sorted list,reverse,FAIL,9,-,FAIL,240
Sorted list,merge,FAIL,23,-,FAIL,2165
Doubly Linked List,singleton,14,13,0.5,5,32
Doubly Linked List,append,FAIL,20,-,FAIL,1166
Doubly Linked List,delete,FAIL,18,-,FAIL,188
List of Lists,flatten,FAIL,12,-,FAIL,1146
List of Lists,length,FAIL,12,-,FAIL,1128
Binary Tree,size,FAIL,13,-,FAIL,77
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,FAIL,12,-,FAIL,99
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3290
BST,insert,FAIL,21,-,FAIL,850
BST,rotate left,FAIL,74,-,FAIL,1738
BST,delete root,FAIL,41,-,FAIL,1661
BST,from list,FAIL,15,-,FAIL,129
Rose Tree,flatten,FAIL,10,-,FAIL,148
Packed Tree,pack,FAIL,36,-,FAIL,2922
