Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,26
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,0.9,4,121
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,non-destructive append,63,21,7.1,21,2862
Singly Linked List,intersection,FAIL,16,-,FAIL,3475
Sorted list,insert,FAIL,21,-,FAIL,89
Sorted list,reverse,39,9,1.4,12,204
Sorted list,merge,FAIL,23,-,FAIL,1922
Doubly Linked List,singleton,14,13,0.5,5,44
Doubly Linked List,append,57,20,5.3,19,2331
Doubly Linked List,delete,FAIL,18,-,FAIL,2852
List of Lists,flatten,53,12,1.4,17,236
List of Lists,length,101,12,10.7,32,3389
Binary Tree,size,35,13,1.3,10,234
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,46,12,3.4,16,1052
Binary Tree,flatten to dll in place,60,5,10.4,19,4135
BST,insert,FAIL,21,-,FAIL,259
BST,rotate left,15,74,9.6,5,2525
BST,delete root,54,41,13.5,18,2732
BST,from list,FAIL,15,-,FAIL,408
Rose Tree,flatten,FAIL,10,-,FAIL,5930
Packed Tree,pack,FAIL,36,-,FAIL,3413
