Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.8,3,63
Singly Linked List,deallocate,11,2,0.6,4,30
Singly Linked List,initialize,FAIL,8,-,FAIL,8501
Singly Linked List,deallocate two,25,4,1.8,9,296
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,8111
Singly Linked List,intersection,FAIL,16,-,FAIL,5862
Sorted list,insert,FAIL,21,-,FAIL,2450
Sorted list,reverse,FAIL,9,-,FAIL,5054
Sorted list,merge,FAIL,23,-,FAIL,2543
Doubly Linked List,singleton,FAIL,13,-,FAIL,262
Doubly Linked List,append,FAIL,20,-,FAIL,5150
Doubly Linked List,delete,FAIL,18,-,FAIL,5192
List of Lists,flatten,FAIL,12,-,FAIL,3534
List of Lists,length,FAIL,12,-,FAIL,2061
Binary Tree,size,FAIL,13,-,FAIL,6419
Binary Tree,deallocate,16,2,0.9,6,82
Binary Tree,copy,FAIL,12,-,FAIL,5646
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3925
BST,insert,FAIL,21,-,FAIL,5942
BST,rotate left,FAIL,74,-,FAIL,2990
BST,delete root,FAIL,41,-,FAIL,2184
BST,from list,FAIL,15,-,FAIL,3846
Rose Tree,flatten,FAIL,10,-,FAIL,808
Packed Tree,pack,FAIL,36,-,FAIL,2402
