Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,32
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,initialize,13,8,1.1,4,136
Singly Linked List,deallocate two,25,4,0.8,9,66
Singly Linked List,non-destructive append,66,21,9.1,22,2665
Singly Linked List,intersection,FAIL,16,-,FAIL,2825
Sorted list,insert,FAIL,21,-,FAIL,68
Sorted list,reverse,49,9,1.6,13,174
Sorted list,merge,FAIL,23,-,FAIL,1507
Doubly Linked List,singleton,14,13,0.5,5,35
Doubly Linked List,append,44,20,6.9,14,2750
Doubly Linked List,delete,FAIL,18,-,FAIL,3127
List of Lists,flatten,72,12,2.2,24,378
List of Lists,length,FAIL,12,-,FAIL,3365
Binary Tree,size,35,13,2.1,10,374
Binary Tree,deallocate,16,2,0.5,6,26
Binary Tree,copy,FAIL,12,-,FAIL,4088
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5616
BST,insert,FAIL,21,-,FAIL,264
BST,rotate left,FAIL,74,-,FAIL,174
BST,delete root,FAIL,41,-,FAIL,1558
BST,from list,FAIL,15,-,FAIL,503
Rose Tree,flatten,93,10,12.8,29,3879
Packed Tree,pack,FAIL,36,-,FAIL,3028
