Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,54
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,initialize,13,8,1.0,4,95
Singly Linked List,deallocate two,25,4,0.6,9,66
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2752
Singly Linked List,intersection,FAIL,16,-,FAIL,2815
Sorted list,insert,FAIL,21,-,FAIL,75
Sorted list,reverse,39,9,1.7,12,186
Sorted list,merge,FAIL,23,-,FAIL,2836
Doubly Linked List,singleton,14,13,0.6,5,45
Doubly Linked List,append,FAIL,20,-,FAIL,7911
Doubly Linked List,delete,FAIL,18,-,FAIL,4383
List of Lists,flatten,98,12,4.8,33,1356
List of Lists,length,FAIL,12,-,FAIL,3479
Binary Tree,size,32,13,1.8,9,513
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,copy,FAIL,12,-,FAIL,2871
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,7399
BST,insert,FAIL,21,-,FAIL,314
BST,rotate left,FAIL,74,-,FAIL,295
BST,delete root,FAIL,41,-,FAIL,2232
BST,from list,FAIL,15,-,FAIL,457
Rose Tree,flatten,FAIL,10,-,FAIL,4938
Packed Tree,pack,FAIL,36,-,FAIL,3069
