Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,min,41,22,4.0,11,486
Singly Linked List,singleton,11,12,0.6,4,35
Singly Linked List,initialize,13,8,1.1,4,99
Singly Linked List,delete,41,16,2.1,12,254
Singly Linked List,intersection,FAIL,16,-,FAIL,3016
Doubly Linked List,singleton,14,13,0.6,5,36
Doubly Linked List,single to double,69,11,2.7,24,785
List of Lists,length,FAIL,12,-,FAIL,3906
Binary Tree,size,32,13,1.5,9,170
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,51,10,1.1,18,125
Binary Tree,flatten w/acc,66,17,1.5,22,200
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3416
BST,rotate left,FAIL,74,-,FAIL,5971
BST,rotate right,FAIL,74,-,FAIL,6455
BST,delete root,FAIL,41,-,FAIL,2447
BST,to sorted list,FAIL,15,-,FAIL,4504
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,5241
Packed Tree,pack,FAIL,36,-,FAIL,3165
Packed Tree,unpack,FAIL,25,-,FAIL,4170
