Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,min,80,22,5.2,25,573
Singly Linked List,singleton,11,12,0.6,4,30
Singly Linked List,initialize,13,8,1.0,4,93
Singly Linked List,delete,51,16,2.3,16,258
Singly Linked List,intersection,FAIL,16,-,FAIL,3583
Doubly Linked List,singleton,14,13,0.6,5,33
Doubly Linked List,single to double,69,11,1.6,24,188
List of Lists,length,FAIL,12,-,FAIL,3040
Binary Tree,size,32,13,1.5,9,172
Binary Tree,deallocate,16,2,0.5,6,26
Binary Tree,flatten w/append,51,10,1.9,18,276
Binary Tree,flatten w/acc,66,17,2.0,22,266
Binary Tree,flatten to dll in place,51,5,4.5,16,1227
BST,rotate left,15,74,7.2,5,778
BST,rotate right,15,74,5.9,5,596
BST,delete root,FAIL,41,-,FAIL,1467
BST,to sorted list,67,15,10.4,21,1894
Rose Tree,deallocate,24,2,0.8,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,4963
Packed Tree,pack,FAIL,36,-,FAIL,2864
Packed Tree,unpack,FAIL,25,-,FAIL,2711
