Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.7,3,56
Singly Linked List,min,FAIL,22,-,FAIL,7193
Singly Linked List,singleton,FAIL,12,-,FAIL,224
Singly Linked List,initialize,13,8,4.3,4,3028
Singly Linked List,delete,FAIL,16,-,FAIL,2965
Singly Linked List,intersection,FAIL,16,-,FAIL,5347
Doubly Linked List,singleton,FAIL,13,-,FAIL,224
Doubly Linked List,single to double,FAIL,11,-,FAIL,4012
List of Lists,length,FAIL,12,-,FAIL,2518
Binary Tree,size,FAIL,13,-,FAIL,10675
Binary Tree,deallocate,16,2,0.8,6,82
Binary Tree,flatten w/append,FAIL,10,-,FAIL,7082
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,6114
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4563
BST,rotate left,FAIL,74,-,FAIL,7085
BST,rotate right,FAIL,74,-,FAIL,7381
BST,delete root,FAIL,41,-,FAIL,2368
BST,to sorted list,FAIL,15,-,FAIL,5660
Rose Tree,deallocate,24,2,1.5,9,225
Rose Tree,flatten,FAIL,10,-,FAIL,1031
Packed Tree,pack,FAIL,36,-,FAIL,2318
Packed Tree,unpack,FAIL,25,-,FAIL,2491
