Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,35
Singly Linked List,min,FAIL,22,-,FAIL,1258
Singly Linked List,singleton,11,12,0.6,4,41
Singly Linked List,initialize,13,8,0.9,4,89
Singly Linked List,delete,FAIL,16,-,FAIL,1081
Singly Linked List,intersection,FAIL,16,-,FAIL,3009
Doubly Linked List,singleton,14,13,0.6,5,43
Doubly Linked List,single to double,66,11,1.8,23,245
List of Lists,length,FAIL,12,-,FAIL,3141
Binary Tree,size,35,13,2.0,10,451
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,48,10,1.2,17,137
Binary Tree,flatten w/acc,63,17,1.6,21,207
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4884
BST,rotate left,FAIL,74,-,FAIL,259
BST,rotate right,FAIL,74,-,FAIL,253
BST,delete root,FAIL,41,-,FAIL,1994
BST,to sorted list,114,15,3.5,32,463
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,flatten,80,10,7.4,25,2014
Packed Tree,pack,FAIL,36,-,FAIL,3294
Packed Tree,unpack,FAIL,25,-,FAIL,2652
