Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,1.1,3,108
Singly Linked List,min,FAIL,22,-,FAIL,6237
Singly Linked List,singleton,FAIL,12,-,FAIL,431
Singly Linked List,initialize,13,8,4.3,4,2376
Singly Linked List,delete,FAIL,16,-,FAIL,6016
Singly Linked List,intersection,FAIL,16,-,FAIL,5806
Doubly Linked List,singleton,FAIL,13,-,FAIL,503
Doubly Linked List,single to double,60,11,12.0,21,5421
List of Lists,length,FAIL,12,-,FAIL,3144
Binary Tree,size,FAIL,13,-,FAIL,2750
Binary Tree,deallocate,16,2,1.0,6,121
Binary Tree,flatten w/append,48,10,6.7,17,2656
Binary Tree,flatten w/acc,73,17,14.6,25,6360
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,6293
BST,rotate left,FAIL,74,-,FAIL,6621
BST,rotate right,FAIL,74,-,FAIL,6397
BST,delete root,FAIL,41,-,FAIL,3616
BST,to sorted list,FAIL,15,-,FAIL,4672
Rose Tree,deallocate,24,2,1.3,9,206
Rose Tree,flatten,FAIL,10,-,FAIL,3681
Packed Tree,pack,FAIL,36,-,FAIL,2076
Packed Tree,unpack,FAIL,25,-,FAIL,2323
