Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.6,3,30
Singly Linked List,min,80,22,6.6,22,1065
Singly Linked List,singleton,11,12,0.5,4,39
Singly Linked List,initialize,13,8,0.9,4,112
Singly Linked List,delete,44,16,2.3,13,375
Singly Linked List,intersection,FAIL,16,-,FAIL,3832
Doubly Linked List,singleton,14,13,0.5,5,43
Doubly Linked List,single to double,66,11,1.7,23,295
List of Lists,length,FAIL,12,-,FAIL,3402
Binary Tree,size,32,13,1.8,9,383
Binary Tree,deallocate,16,2,0.5,6,26
Binary Tree,flatten w/append,48,10,1.9,17,331
Binary Tree,flatten w/acc,63,17,1.9,21,344
Binary Tree,flatten to dll in place,60,5,12.0,19,3913
BST,rotate left,15,74,9.3,5,2258
BST,rotate right,15,74,5.6,5,1253
BST,delete root,FAIL,41,-,FAIL,2841
BST,to sorted list,67,15,4.9,21,1132
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,5808
Packed Tree,pack,FAIL,36,-,FAIL,2804
Packed Tree,unpack,FAIL,25,-,FAIL,2813
