Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,min,50,22,4.5,14,572
Singly Linked List,singleton,11,12,0.5,4,30
Singly Linked List,initialize,13,8,1.0,4,93
Singly Linked List,delete,41,16,2.2,12,245
Singly Linked List,intersection,FAIL,16,-,FAIL,3018
Doubly Linked List,singleton,14,13,0.6,5,33
Doubly Linked List,single to double,69,11,1.6,24,192
List of Lists,length,87,12,8.8,27,2336
Binary Tree,size,32,13,1.4,9,238
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,51,10,1.1,18,120
Binary Tree,flatten w/acc,66,17,1.5,22,198
Binary Tree,flatten to dll in place,51,5,13.2,16,3463
BST,rotate left,15,74,7.6,5,841
BST,rotate right,15,74,6.1,5,627
BST,delete root,FAIL,41,-,FAIL,1771
BST,to sorted list,67,15,5.1,21,953
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,86,10,9.8,27,2580
Packed Tree,pack,FAIL,36,-,FAIL,2969
Packed Tree,unpack,FAIL,25,-,FAIL,2676
