Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,min,107,22,5.8,33,795
Singly Linked List,singleton,11,12,0.5,4,38
Singly Linked List,initialize,13,8,0.9,4,105
Singly Linked List,delete,51,16,2.5,16,384
Singly Linked List,intersection,FAIL,16,-,FAIL,3616
Doubly Linked List,singleton,14,13,0.5,5,40
Doubly Linked List,single to double,66,11,1.6,23,229
List of Lists,length,86,12,10.6,27,3101
Binary Tree,size,35,13,1.7,10,581
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,48,10,1.1,17,132
Binary Tree,flatten w/acc,63,17,1.4,21,219
Binary Tree,flatten to dll in place,54,5,10.3,17,3787
BST,rotate left,15,74,9.0,5,2096
BST,rotate right,15,74,5.8,5,1256
BST,delete root,FAIL,41,-,FAIL,2798
BST,to sorted list,FAIL,15,-,FAIL,3150
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,5509
Packed Tree,pack,FAIL,36,-,FAIL,3251
Packed Tree,unpack,FAIL,25,-,FAIL,2939
