Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.7,3,41
Singly Linked List,min,106,22,5.9,30,863
Singly Linked List,singleton,11,12,0.6,4,43
Singly Linked List,initialize,13,8,1.1,4,140
Singly Linked List,delete,48,16,3.1,15,504
Singly Linked List,intersection,FAIL,16,-,FAIL,5041
Doubly Linked List,singleton,14,13,0.6,5,45
Doubly Linked List,single to double,66,11,1.6,23,263
List of Lists,length,FAIL,12,-,FAIL,3407
Binary Tree,size,35,13,1.5,10,273
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,48,10,1.8,17,333
Binary Tree,flatten w/acc,63,17,2.0,21,376
Binary Tree,flatten to dll in place,54,5,4.0,17,1412
BST,rotate left,15,74,14.7,5,3471
BST,rotate right,15,74,7.9,5,1801
BST,delete root,FAIL,41,-,FAIL,2250
BST,to sorted list,FAIL,15,-,FAIL,4111
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,5346
Packed Tree,pack,FAIL,36,-,FAIL,2876
Packed Tree,unpack,FAIL,25,-,FAIL,3013
