Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,58
Singly Linked List,min,FAIL,22,-,FAIL,1162
Singly Linked List,singleton,11,12,0.5,4,38
Singly Linked List,initialize,13,8,1.2,4,134
Singly Linked List,delete,FAIL,16,-,FAIL,1248
Singly Linked List,intersection,FAIL,16,-,FAIL,2921
Doubly Linked List,singleton,14,13,0.6,5,44
Doubly Linked List,single to double,66,11,1.8,23,257
List of Lists,length,FAIL,12,-,FAIL,3422
Binary Tree,size,35,13,1.8,10,449
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,flatten w/append,48,10,1.1,17,134
Binary Tree,flatten w/acc,63,17,1.4,21,194
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5471
BST,rotate left,FAIL,74,-,FAIL,151
BST,rotate right,FAIL,74,-,FAIL,151
BST,delete root,FAIL,41,-,FAIL,1935
BST,to sorted list,67,15,2.6,21,334
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,93,10,8.8,30,2726
Packed Tree,pack,FAIL,36,-,FAIL,3056
Packed Tree,unpack,FAIL,25,-,FAIL,2663
