Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,0.9,6,148
Singly Linked List,max,67,22,2.5,18,423
Singly Linked List,delete,41,16,1.6,12,341
Singly Linked List,deallocate two,25,4,0.5,9,68
Singly Linked List,append three,55,21,2.4,16,899
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,1705
Singly Linked List,difference,FAIL,14,-,FAIL,1609
Sorted list,insert,89,21,2.7,26,541
Sorted list,merge,FAIL,23,-,FAIL,1154
List of Lists,length,FAIL,12,-,FAIL,1558
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,1.0,16,263
BST,rotate right,FAIL,74,-,FAIL,1376
BST,find min,FAIL,25,-,FAIL,1232
BST,find max,FAIL,25,-,FAIL,1205
BST,delete root,FAIL,41,-,FAIL,1097
BST,to sorted list,FAIL,15,-,FAIL,1446
Rose Tree,copy,FAIL,12,-,FAIL,2060
Packed Tree,unpack,72,25,3.8,23,1119
