Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,1.3,6,289
Singly Linked List,max,FAIL,22,-,FAIL,1184
Singly Linked List,delete,48,16,2.4,15,724
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,append three,106,21,2.3,35,868
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2332
Singly Linked List,difference,FAIL,14,-,FAIL,2034
Sorted list,insert,FAIL,21,-,FAIL,326
Sorted list,merge,FAIL,23,-,FAIL,1635
List of Lists,length,FAIL,12,-,FAIL,1857
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.9,16,213
BST,rotate right,FAIL,74,-,FAIL,1566
BST,find min,FAIL,25,-,FAIL,1800
BST,find max,FAIL,25,-,FAIL,1792
BST,delete root,FAIL,41,-,FAIL,1880
BST,to sorted list,FAIL,15,-,FAIL,1096
Rose Tree,copy,FAIL,12,-,FAIL,1880
Packed Tree,unpack,FAIL,25,-,FAIL,1433
