Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,1.0,6,198
Singly Linked List,max,FAIL,22,-,FAIL,959
Singly Linked List,delete,41,16,2.0,12,425
Singly Linked List,deallocate two,25,4,0.6,9,66
Singly Linked List,append three,48,21,1.9,14,541
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,1688
Singly Linked List,difference,FAIL,14,-,FAIL,1672
Sorted list,insert,FAIL,21,-,FAIL,1237
Sorted list,merge,FAIL,23,-,FAIL,1035
List of Lists,length,FAIL,12,-,FAIL,1625
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.9,16,213
BST,rotate right,FAIL,74,-,FAIL,1446
BST,find min,FAIL,25,-,FAIL,1223
BST,find max,FAIL,25,-,FAIL,1200
BST,delete root,FAIL,41,-,FAIL,1056
BST,to sorted list,FAIL,15,-,FAIL,1198
Rose Tree,copy,FAIL,12,-,FAIL,2065
Packed Tree,unpack,72,25,4.1,23,1103
