Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,FAIL,15,-,FAIL,204
Singly Linked List,max,FAIL,22,-,FAIL,175
Singly Linked List,delete,FAIL,16,-,FAIL,243
Singly Linked List,deallocate two,25,4,2.3,9,66
Singly Linked List,append three,FAIL,21,-,FAIL,226
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,332
Singly Linked List,difference,FAIL,14,-,FAIL,292
Sorted list,insert,FAIL,21,-,FAIL,191
Sorted list,merge,FAIL,23,-,FAIL,285
List of Lists,length,FAIL,12,-,FAIL,297
Binary Tree,deallocate,16,2,1.3,6,26
Binary Tree,deallocate two,47,4,3.9,16,213
BST,rotate right,FAIL,74,-,FAIL,248
BST,find min,FAIL,25,-,FAIL,217
BST,find max,FAIL,25,-,FAIL,223
BST,delete root,FAIL,41,-,FAIL,219
BST,to sorted list,FAIL,15,-,FAIL,231
Rose Tree,copy,FAIL,12,-,FAIL,288
Packed Tree,unpack,FAIL,25,-,FAIL,305
