Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,0.9,6,148
Singly Linked List,max,FAIL,22,-,FAIL,834
Singly Linked List,delete,FAIL,16,-,FAIL,373
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,append three,76,21,2.1,23,756
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2250
Singly Linked List,difference,FAIL,14,-,FAIL,1372
Sorted list,insert,FAIL,21,-,FAIL,613
Sorted list,merge,FAIL,23,-,FAIL,1176
List of Lists,length,FAIL,12,-,FAIL,1655
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.9,16,213
BST,rotate right,FAIL,74,-,FAIL,1337
BST,find min,FAIL,25,-,FAIL,1255
BST,find max,FAIL,25,-,FAIL,1266
BST,delete root,FAIL,41,-,FAIL,1025
BST,to sorted list,67,15,3.5,21,959
Rose Tree,copy,FAIL,12,-,FAIL,2073
Packed Tree,unpack,72,25,3.4,23,1036
