Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,FAIL,15,-,FAIL,235
Singly Linked List,max,FAIL,22,-,FAIL,210
Singly Linked List,delete,FAIL,16,-,FAIL,233
Singly Linked List,deallocate two,25,4,1.7,9,66
Singly Linked List,append three,FAIL,21,-,FAIL,234
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,251
Singly Linked List,difference,FAIL,14,-,FAIL,238
Sorted list,insert,FAIL,21,-,FAIL,284
Sorted list,merge,FAIL,23,-,FAIL,192
List of Lists,length,FAIL,12,-,FAIL,327
Binary Tree,deallocate,16,2,1.4,6,26
Binary Tree,deallocate two,47,4,3.2,16,213
BST,rotate right,FAIL,74,-,FAIL,250
BST,find min,FAIL,25,-,FAIL,241
BST,find max,FAIL,25,-,FAIL,243
BST,delete root,FAIL,41,-,FAIL,216
BST,to sorted list,FAIL,15,-,FAIL,236
Rose Tree,copy,FAIL,12,-,FAIL,315
Packed Tree,unpack,FAIL,25,-,FAIL,269
