Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,0.9,6,164
Singly Linked List,max,FAIL,22,-,FAIL,822
Singly Linked List,delete,FAIL,16,-,FAIL,498
Singly Linked List,deallocate two,25,4,0.5,9,68
Singly Linked List,append three,48,21,2.5,14,885
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,1990
Singly Linked List,difference,FAIL,14,-,FAIL,1520
Sorted list,insert,FAIL,21,-,FAIL,1068
Sorted list,merge,FAIL,23,-,FAIL,794
List of Lists,length,FAIL,12,-,FAIL,1188
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.9,16,263
BST,rotate right,FAIL,74,-,FAIL,1236
BST,find min,FAIL,25,-,FAIL,871
BST,find max,FAIL,25,-,FAIL,891
BST,delete root,FAIL,41,-,FAIL,514
BST,to sorted list,FAIL,15,-,FAIL,1216
Rose Tree,copy,FAIL,12,-,FAIL,2002
Packed Tree,unpack,72,25,4.6,23,1348
