Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,FAIL,15,-,FAIL,72
Singly Linked List,max,FAIL,22,-,FAIL,89
Singly Linked List,delete,FAIL,16,-,FAIL,82
Singly Linked List,deallocate two,25,4,3.6,9,69
Singly Linked List,append three,FAIL,21,-,FAIL,99
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,136
Singly Linked List,difference,FAIL,14,-,FAIL,100
Sorted list,insert,FAIL,21,-,FAIL,96
Sorted list,merge,FAIL,23,-,FAIL,100
List of Lists,length,FAIL,12,-,FAIL,122
Binary Tree,deallocate,16,2,2.2,6,26
Binary Tree,deallocate two,FAIL,4,-,FAIL,132
BST,rotate right,FAIL,74,-,FAIL,84
BST,find min,FAIL,25,-,FAIL,90
BST,find max,FAIL,25,-,FAIL,93
BST,delete root,FAIL,41,-,FAIL,85
BST,to sorted list,FAIL,15,-,FAIL,53
Rose Tree,copy,FAIL,12,-,FAIL,139
Packed Tree,unpack,FAIL,25,-,FAIL,145
