Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,21,15,3.9,6,148
Singly Linked List,max,FAIL,22,-,FAIL,185
Singly Linked List,delete,FAIL,16,-,FAIL,187
Singly Linked List,deallocate two,25,4,2.1,9,66
Singly Linked List,append three,FAIL,21,-,FAIL,234
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,272
Singly Linked List,difference,FAIL,14,-,FAIL,205
Sorted list,insert,FAIL,21,-,FAIL,185
Sorted list,merge,FAIL,23,-,FAIL,171
List of Lists,length,FAIL,12,-,FAIL,236
Binary Tree,deallocate,16,2,1.1,6,26
Binary Tree,deallocate two,47,4,3.6,16,213
BST,rotate right,FAIL,74,-,FAIL,168
BST,find min,FAIL,25,-,FAIL,217
BST,find max,FAIL,25,-,FAIL,200
BST,delete root,FAIL,41,-,FAIL,167
BST,to sorted list,FAIL,15,-,FAIL,212
Rose Tree,copy,FAIL,12,-,FAIL,253
Packed Tree,unpack,FAIL,25,-,FAIL,244
