Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Singly Linked List,length,FAIL,15,-,FAIL,2566
Singly Linked List,max,FAIL,22,-,FAIL,2359
Singly Linked List,delete,FAIL,16,-,FAIL,1780
Singly Linked List,deallocate two,25,4,0.8,9,168
Singly Linked List,append three,FAIL,21,-,FAIL,1534
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2423
Singly Linked List,difference,FAIL,14,-,FAIL,2299
Sorted list,insert,FAIL,21,-,FAIL,1401
Sorted list,merge,FAIL,23,-,FAIL,2414
List of Lists,length,FAIL,12,-,FAIL,1669
Binary Tree,deallocate,16,2,0.6,6,82
Binary Tree,deallocate two,FAIL,4,-,FAIL,2223
BST,rotate right,FAIL,74,-,FAIL,1964
BST,find min,FAIL,25,-,FAIL,1902
BST,find max,FAIL,25,-,FAIL,1927
BST,delete root,FAIL,41,-,FAIL,1314
BST,to sorted list,FAIL,15,-,FAIL,2196
Rose Tree,copy,FAIL,12,-,FAIL,1831
Packed Tree,unpack,FAIL,25,-,FAIL,1493
