Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,10
Integers,min of two,10,9,0.5,3,25
Singly Linked List,length,21,15,1.1,6,103
Singly Linked List,max,102,22,5.5,30,644
Singly Linked List,min,102,22,5.4,30,644
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,copy,35,12,1.4,12,184
Singly Linked List,append,19,17,1.7,6,272
Singly Linked List,delete,41,16,2.2,12,275
Singly Linked List,append three,55,21,3.1,16,913
Singly Linked List,union,FAIL,14,-,FAIL,3089
Singly Linked List,intersection,FAIL,16,-,FAIL,3784
Singly Linked List,difference,FAIL,14,-,FAIL,2356
Sorted list,insertion sort,22,18,3.1,7,652
Doubly Linked List,copy,68,15,8.7,23,2403
Doubly Linked List,delete,67,18,5.2,19,933
Doubly Linked List,single to double,69,11,1.6,24,189
List of Lists,deallocate,32,3,0.8,11,76
List of Lists,length,FAIL,12,-,FAIL,2796
Binary Tree,copy,FAIL,12,-,FAIL,5141
Binary Tree,flatten w/append,51,10,1.7,18,267
Binary Tree,flatten w/acc,66,17,2.1,22,324
Binary Tree,flatten,77,10,3.1,25,686
BST,insert,FAIL,21,-,FAIL,1207
BST,from list,FAIL,15,-,FAIL,1093
BST,to sorted list,67,15,10.6,21,2199
Rose Tree,copy,FAIL,12,-,FAIL,4454
Packed Tree,unpack,72,25,12.0,23,2344
