Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,1.2,4,431
Integers,min of two,10,9,0.8,3,73
Singly Linked List,length,FAIL,15,-,FAIL,4898
Singly Linked List,max,FAIL,22,-,FAIL,4433
Singly Linked List,min,FAIL,22,-,FAIL,4358
Singly Linked List,deallocate,11,2,0.5,4,30
Singly Linked List,copy,FAIL,12,-,FAIL,5733
Singly Linked List,append,FAIL,17,-,FAIL,6377
Singly Linked List,delete,FAIL,16,-,FAIL,5217
Singly Linked List,append three,FAIL,21,-,FAIL,5738
Singly Linked List,union,FAIL,14,-,FAIL,5112
Singly Linked List,intersection,FAIL,16,-,FAIL,5351
Singly Linked List,difference,FAIL,14,-,FAIL,3825
Sorted list,insertion sort,FAIL,18,-,FAIL,5100
Doubly Linked List,copy,FAIL,15,-,FAIL,5026
Doubly Linked List,delete,FAIL,18,-,FAIL,5710
Doubly Linked List,single to double,FAIL,11,-,FAIL,2244
List of Lists,deallocate,32,3,2.0,11,376
List of Lists,length,FAIL,12,-,FAIL,1820
Binary Tree,copy,FAIL,12,-,FAIL,5875
Binary Tree,flatten w/append,FAIL,10,-,FAIL,6824
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,4612
Binary Tree,flatten,FAIL,10,-,FAIL,10113
BST,insert,FAIL,21,-,FAIL,1780
BST,from list,FAIL,15,-,FAIL,2794
BST,to sorted list,FAIL,15,-,FAIL,6308
Rose Tree,copy,FAIL,12,-,FAIL,2623
Packed Tree,unpack,FAIL,25,-,FAIL,2375
