Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,10
Integers,min of two,10,9,0.4,3,19
Singly Linked List,length,21,15,1.3,6,167
Singly Linked List,max,67,22,7.0,18,973
Singly Linked List,min,91,22,9.0,24,1227
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,copy,35,12,1.2,12,173
Singly Linked List,append,19,17,0.9,6,106
Singly Linked List,delete,41,16,2.3,12,363
Singly Linked List,append three,48,21,2.1,14,431
Singly Linked List,union,FAIL,14,-,FAIL,4133
Singly Linked List,intersection,FAIL,16,-,FAIL,4706
Singly Linked List,difference,FAIL,14,-,FAIL,2832
Sorted list,insertion sort,22,18,1.5,7,274
Doubly Linked List,copy,68,15,13.3,23,7392
Doubly Linked List,delete,79,18,9.7,23,5198
Doubly Linked List,single to double,69,11,1.6,24,224
List of Lists,deallocate,32,3,0.9,11,76
List of Lists,length,FAIL,12,-,FAIL,3770
Binary Tree,copy,49,12,3.4,17,987
Binary Tree,flatten w/append,51,10,1.1,18,122
Binary Tree,flatten w/acc,66,17,1.4,22,201
Binary Tree,flatten,77,10,3.3,25,838
BST,insert,FAIL,21,-,FAIL,1894
BST,from list,FAIL,15,-,FAIL,1641
BST,to sorted list,FAIL,15,-,FAIL,3642
Rose Tree,copy,FAIL,12,-,FAIL,6247
Packed Tree,unpack,72,25,6.7,23,1561
