Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.3,4,12
Integers,min of two,10,9,0.6,3,33
Singly Linked List,length,21,15,1.3,6,164
Singly Linked List,max,47,22,14.6,13,2114
Singly Linked List,min,FAIL,22,-,FAIL,2214
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,copy,32,12,1.6,11,268
Singly Linked List,append,47,17,2.4,15,495
Singly Linked List,delete,41,16,2.9,12,506
Singly Linked List,append three,76,21,4.4,23,1067
Singly Linked List,union,FAIL,14,-,FAIL,3575
Singly Linked List,intersection,FAIL,16,-,FAIL,3965
Singly Linked List,difference,FAIL,14,-,FAIL,4501
Sorted list,insertion sort,22,18,1.9,7,387
Doubly Linked List,copy,FAIL,15,-,FAIL,8083
Doubly Linked List,delete,FAIL,18,-,FAIL,5144
Doubly Linked List,single to double,66,11,3.5,23,745
List of Lists,deallocate,32,3,0.9,11,54
List of Lists,length,106,12,10.3,33,2633
Binary Tree,copy,FAIL,12,-,FAIL,3124
Binary Tree,flatten w/append,48,10,1.3,17,149
Binary Tree,flatten w/acc,63,17,2.3,21,367
Binary Tree,flatten,74,10,4.7,24,1352
BST,insert,FAIL,21,-,FAIL,4035
BST,from list,FAIL,15,-,FAIL,2582
BST,to sorted list,FAIL,15,-,FAIL,3337
Rose Tree,copy,FAIL,12,-,FAIL,4777
Packed Tree,unpack,FAIL,25,-,FAIL,3128
