Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,12
Integers,min of two,10,9,0.5,3,29
Singly Linked List,length,21,15,1.0,6,121
Singly Linked List,max,41,22,3.7,11,615
Singly Linked List,min,41,22,3.7,11,615
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,copy,32,12,1.2,11,189
Singly Linked List,append,19,17,1.3,6,206
Singly Linked List,delete,41,16,2.1,12,293
Singly Linked List,append three,48,21,2.7,14,876
Singly Linked List,union,FAIL,14,-,FAIL,3471
Singly Linked List,intersection,FAIL,16,-,FAIL,4129
Singly Linked List,difference,71,14,8.8,21,1986
Sorted list,insertion sort,22,18,2.2,7,554
Doubly Linked List,copy,65,15,6.4,22,2507
Doubly Linked List,delete,67,18,4.3,19,985
Doubly Linked List,single to double,66,11,1.5,23,230
List of Lists,deallocate,32,3,0.7,11,76
List of Lists,length,FAIL,12,-,FAIL,3917
Binary Tree,copy,46,12,9.7,16,3245
Binary Tree,flatten w/append,48,10,1.7,17,334
Binary Tree,flatten w/acc,63,17,1.7,21,304
Binary Tree,flatten,71,10,3.0,23,741
BST,insert,FAIL,21,-,FAIL,3127
BST,from list,85,15,9.6,27,1538
BST,to sorted list,FAIL,15,-,FAIL,3737
Rose Tree,copy,FAIL,12,-,FAIL,3399
Packed Tree,unpack,FAIL,25,-,FAIL,2782
