Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,298
Integers,min of two,10,9,0.5,3,34
Singly Linked List,length,21,15,11.2,6,6295
Singly Linked List,max,FAIL,22,-,FAIL,5992
Singly Linked List,min,FAIL,22,-,FAIL,6048
Singly Linked List,deallocate,11,2,0.6,4,44
Singly Linked List,copy,FAIL,12,-,FAIL,5276
Singly Linked List,append,29,17,3.1,10,869
Singly Linked List,delete,FAIL,16,-,FAIL,4232
Singly Linked List,append three,FAIL,21,-,FAIL,9613
Singly Linked List,union,FAIL,14,-,FAIL,3252
Singly Linked List,intersection,FAIL,16,-,FAIL,4901
Singly Linked List,difference,FAIL,14,-,FAIL,3836
Sorted list,insertion sort,25,18,10.4,8,3236
Doubly Linked List,copy,FAIL,15,-,FAIL,3384
Doubly Linked List,delete,FAIL,18,-,FAIL,4331
Doubly Linked List,single to double,60,11,6.7,21,2648
List of Lists,deallocate,32,3,2.3,11,486
List of Lists,length,FAIL,12,-,FAIL,2556
Binary Tree,copy,FAIL,12,-,FAIL,4493
Binary Tree,flatten w/append,48,10,3.6,17,1024
Binary Tree,flatten w/acc,76,17,3.8,26,1172
Binary Tree,flatten,FAIL,10,-,FAIL,5881
BST,insert,FAIL,21,-,FAIL,2063
BST,from list,FAIL,15,-,FAIL,2649
BST,to sorted list,FAIL,15,-,FAIL,3415
Rose Tree,copy,FAIL,12,-,FAIL,3350
Packed Tree,unpack,FAIL,25,-,FAIL,2399
