Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.3,4,18
Integers,min of two,FAIL,9,-,FAIL,45
Singly Linked List,length,21,15,1.7,6,278
Singly Linked List,max,FAIL,22,-,FAIL,1416
Singly Linked List,min,FAIL,22,-,FAIL,1282
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,copy,32,12,1.9,11,338
Singly Linked List,append,19,17,1.2,6,142
Singly Linked List,delete,FAIL,16,-,FAIL,1211
Singly Linked List,append three,48,21,2.7,14,557
Singly Linked List,union,FAIL,14,-,FAIL,2953
Singly Linked List,intersection,FAIL,16,-,FAIL,2777
Singly Linked List,difference,FAIL,14,-,FAIL,3074
Sorted list,insertion sort,22,18,2.2,7,463
Doubly Linked List,copy,65,15,13.3,22,4039
Doubly Linked List,delete,FAIL,18,-,FAIL,804
Doubly Linked List,single to double,66,11,3.0,23,840
List of Lists,deallocate,32,3,0.8,11,67
List of Lists,length,68,12,11.2,21,2942
Binary Tree,copy,FAIL,12,-,FAIL,3854
Binary Tree,flatten w/append,48,10,1.3,17,159
Binary Tree,flatten w/acc,63,17,1.7,21,262
Binary Tree,flatten,71,10,2.1,23,340
BST,insert,FAIL,21,-,FAIL,341
BST,from list,FAIL,15,-,FAIL,450
BST,to sorted list,67,15,2.8,21,418
Rose Tree,copy,FAIL,12,-,FAIL,3576
Packed Tree,unpack,FAIL,25,-,FAIL,4017
