Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,10
Integers,min of two,10,9,0.4,3,22
Singly Linked List,length,21,15,1.2,6,145
Singly Linked List,max,73,22,5.2,21,739
Singly Linked List,min,67,22,4.8,18,701
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,copy,35,12,1.3,12,199
Singly Linked List,append,19,17,1.2,6,156
Singly Linked List,delete,41,16,2.2,12,302
Singly Linked List,append three,55,21,2.7,16,574
Singly Linked List,union,FAIL,14,-,FAIL,3609
Singly Linked List,intersection,FAIL,16,-,FAIL,3648
Singly Linked List,difference,74,14,9.4,22,1936
Sorted list,insertion sort,22,18,1.5,7,232
Doubly Linked List,copy,71,15,6.3,24,2329
Doubly Linked List,delete,79,18,5.0,23,1039
Doubly Linked List,single to double,69,11,1.7,24,221
List of Lists,deallocate,32,3,0.9,11,76
List of Lists,length,FAIL,12,-,FAIL,3586
Binary Tree,copy,FAIL,12,-,FAIL,5945
Binary Tree,flatten w/append,51,10,1.2,18,130
Binary Tree,flatten w/acc,66,17,1.7,22,254
Binary Tree,flatten,77,10,2.7,25,563
BST,insert,FAIL,21,-,FAIL,2869
BST,from list,112,15,12.4,34,1776
BST,to sorted list,FAIL,15,-,FAIL,3318
Rose Tree,copy,FAIL,12,-,FAIL,3235
Packed Tree,unpack,FAIL,25,-,FAIL,2801
