Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,442
Integers,min of two,10,9,0.9,3,93
Singly Linked List,length,21,15,12.6,6,8838
Singly Linked List,max,FAIL,22,-,FAIL,9033
Singly Linked List,min,FAIL,22,-,FAIL,8980
Singly Linked List,deallocate,11,2,0.5,4,44
Singly Linked List,copy,FAIL,12,-,FAIL,5315
Singly Linked List,append,29,17,14.1,10,6005
Singly Linked List,delete,FAIL,16,-,FAIL,5613
Singly Linked List,append three,FAIL,21,-,FAIL,4542
Singly Linked List,union,FAIL,14,-,FAIL,4384
Singly Linked List,intersection,FAIL,16,-,FAIL,6254
Singly Linked List,difference,FAIL,14,-,FAIL,4600
Sorted list,insertion sort,FAIL,18,-,FAIL,5485
Doubly Linked List,copy,FAIL,15,-,FAIL,4129
Doubly Linked List,delete,FAIL,18,-,FAIL,5801
Doubly Linked List,single to double,60,11,11.6,21,5320
List of Lists,deallocate,32,3,2.9,11,741
List of Lists,length,FAIL,12,-,FAIL,3297
Binary Tree,copy,FAIL,12,-,FAIL,4095
Binary Tree,flatten w/append,FAIL,10,-,FAIL,5334
Binary Tree,flatten w/acc,73,17,10.0,25,4472
Binary Tree,flatten,FAIL,10,-,FAIL,5643
BST,insert,FAIL,21,-,FAIL,8618
BST,from list,FAIL,15,-,FAIL,2836
BST,to sorted list,FAIL,15,-,FAIL,5511
Rose Tree,copy,FAIL,12,-,FAIL,3411
Packed Tree,unpack,FAIL,25,-,FAIL,2526
