Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,12
Integers,min of two,10,9,0.5,3,29
Singly Linked List,length,21,15,1.0,6,115
Singly Linked List,max,41,22,3.6,11,606
Singly Linked List,min,41,22,3.7,11,606
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,copy,32,12,1.2,11,181
Singly Linked List,append,19,17,0.9,6,112
Singly Linked List,delete,41,16,2.0,12,266
Singly Linked List,append three,48,21,1.9,14,455
Singly Linked List,union,FAIL,14,-,FAIL,3194
Singly Linked List,intersection,FAIL,16,-,FAIL,3159
Singly Linked List,difference,71,14,10.8,21,2515
Sorted list,insertion sort,22,18,1.4,7,263
Doubly Linked List,copy,65,15,5.7,22,2218
Doubly Linked List,delete,67,18,4.2,19,916
Doubly Linked List,single to double,66,11,1.5,23,226
List of Lists,deallocate,32,3,0.8,11,67
List of Lists,length,FAIL,12,-,FAIL,4034
Binary Tree,copy,46,12,2.9,16,864
Binary Tree,flatten w/append,48,10,1.0,17,132
Binary Tree,flatten w/acc,63,17,1.3,21,216
Binary Tree,flatten,71,10,2.3,23,590
BST,insert,FAIL,21,-,FAIL,2614
BST,from list,FAIL,15,-,FAIL,2431
BST,to sorted list,FAIL,15,-,FAIL,3212
Rose Tree,copy,FAIL,12,-,FAIL,3443
Packed Tree,unpack,FAIL,25,-,FAIL,2847
