Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.9,4,254
Integers,min of two,10,9,0.7,3,64
Singly Linked List,length,FAIL,15,-,FAIL,5074
Singly Linked List,max,FAIL,22,-,FAIL,4807
Singly Linked List,min,FAIL,22,-,FAIL,4751
Singly Linked List,deallocate,11,2,0.5,4,44
Singly Linked List,copy,FAIL,12,-,FAIL,8272
Singly Linked List,append,FAIL,17,-,FAIL,6312
Singly Linked List,delete,FAIL,16,-,FAIL,6910
Singly Linked List,append three,FAIL,21,-,FAIL,4393
Singly Linked List,union,FAIL,14,-,FAIL,5412
Singly Linked List,intersection,FAIL,16,-,FAIL,9530
Singly Linked List,difference,FAIL,14,-,FAIL,6142
Sorted list,insertion sort,FAIL,18,-,FAIL,5936
Doubly Linked List,copy,FAIL,15,-,FAIL,5438
Doubly Linked List,delete,FAIL,18,-,FAIL,6492
Doubly Linked List,single to double,FAIL,11,-,FAIL,7531
List of Lists,deallocate,32,3,2.3,11,575
List of Lists,length,FAIL,12,-,FAIL,2259
Binary Tree,copy,FAIL,12,-,FAIL,6028
Binary Tree,flatten w/append,FAIL,10,-,FAIL,6385
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,4791
Binary Tree,flatten,FAIL,10,-,FAIL,6502
BST,insert,FAIL,21,-,FAIL,4108
BST,from list,FAIL,15,-,FAIL,2618
BST,to sorted list,FAIL,15,-,FAIL,3470
Rose Tree,copy,FAIL,12,-,FAIL,5324
Packed Tree,unpack,FAIL,25,-,FAIL,3442
