Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.4,3,19
Singly Linked List,max,FAIL,22,-,FAIL,221
Singly Linked List,initialize,13,8,1.0,4,152
Singly Linked List,copy,FAIL,12,-,FAIL,72
Singly Linked List,append,FAIL,17,-,FAIL,1217
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,773
Singly Linked List,intersection,FAIL,16,-,FAIL,702
Singly Linked List,difference,FAIL,14,-,FAIL,192
Sorted list,prepend,11,29,0.6,4,43
Sorted list,sort,FAIL,9,-,FAIL,2157
Sorted list,reverse,FAIL,9,-,FAIL,2061
Sorted list,merge,FAIL,23,-,FAIL,2107
Doubly Linked List,singleton,14,13,0.5,5,34
Doubly Linked List,append,FAIL,20,-,FAIL,1237
Doubly Linked List,delete,FAIL,18,-,FAIL,833
List of Lists,deallocate,FAIL,3,-,FAIL,522
List of Lists,flatten,FAIL,12,-,FAIL,1190
List of Lists,length,FAIL,12,-,FAIL,1115
Binary Tree,deallocate two,47,4,2.2,16,374
Binary Tree,copy,FAIL,12,-,FAIL,141
Binary Tree,flatten,FAIL,10,-,FAIL,37
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3555
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,5716
BST,insert,FAIL,21,-,FAIL,2162
BST,find max,FAIL,25,-,FAIL,675
BST,from list,FAIL,15,-,FAIL,129
Packed Tree,pack,FAIL,36,-,FAIL,3094
