Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,23
Singly Linked List,max,67,22,8.8,18,1072
Singly Linked List,initialize,13,8,1.1,4,125
Singly Linked List,copy,35,12,1.4,12,194
Singly Linked List,append,50,17,1.6,16,261
Singly Linked List,non-destructive append,66,21,8.1,22,2406
Singly Linked List,intersection,FAIL,16,-,FAIL,3613
Singly Linked List,difference,FAIL,14,-,FAIL,3109
Sorted list,prepend,11,29,0.7,4,40
Sorted list,sort,57,9,2.4,15,283
Sorted list,reverse,49,9,1.8,13,187
Sorted list,merge,FAIL,23,-,FAIL,2021
Doubly Linked List,singleton,14,13,0.6,5,34
Doubly Linked List,append,FAIL,20,-,FAIL,4291
Doubly Linked List,delete,73,18,6.7,21,1774
List of Lists,deallocate,32,3,0.8,11,67
List of Lists,flatten,98,12,5.3,31,1469
List of Lists,length,FAIL,12,-,FAIL,4264
Binary Tree,deallocate two,47,4,1.1,16,213
Binary Tree,copy,49,12,4.4,17,1088
Binary Tree,flatten,74,10,2.5,24,543
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3524
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3528
BST,insert,FAIL,21,-,FAIL,2587
BST,find max,FAIL,25,-,FAIL,1817
BST,from list,FAIL,15,-,FAIL,1572
Packed Tree,pack,FAIL,36,-,FAIL,3098
