Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,40
Singly Linked List,max,FAIL,22,-,FAIL,1040
Singly Linked List,initialize,13,8,1.1,4,158
Singly Linked List,copy,35,12,1.4,12,226
Singly Linked List,append,29,17,1.4,9,181
Singly Linked List,non-destructive append,66,21,8.4,22,3107
Singly Linked List,intersection,FAIL,16,-,FAIL,3021
Singly Linked List,difference,FAIL,14,-,FAIL,2412
Sorted list,prepend,11,29,0.6,4,41
Sorted list,sort,FAIL,9,-,FAIL,289
Sorted list,reverse,49,9,9.2,13,1913
Sorted list,merge,FAIL,23,-,FAIL,2326
Doubly Linked List,singleton,14,13,0.5,5,31
Doubly Linked List,append,44,20,5.3,14,1777
Doubly Linked List,delete,FAIL,18,-,FAIL,1078
List of Lists,deallocate,32,3,0.9,11,76
List of Lists,flatten,72,12,2.2,24,388
List of Lists,length,FAIL,12,-,FAIL,3799
Binary Tree,deallocate two,47,4,1.5,16,213
Binary Tree,copy,49,12,8.6,17,2465
Binary Tree,flatten,77,10,2.9,25,596
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5680
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,6679
BST,insert,FAIL,21,-,FAIL,257
BST,find max,FAIL,25,-,FAIL,2108
BST,from list,FAIL,15,-,FAIL,578
Packed Tree,pack,FAIL,36,-,FAIL,3046
