Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.9,3,65
Singly Linked List,max,FAIL,22,-,FAIL,7215
Singly Linked List,initialize,13,8,3.8,4,2129
Singly Linked List,copy,FAIL,12,-,FAIL,4643
Singly Linked List,append,FAIL,17,-,FAIL,3480
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,7241
Singly Linked List,intersection,FAIL,16,-,FAIL,3943
Singly Linked List,difference,FAIL,14,-,FAIL,2760
Sorted list,prepend,FAIL,29,-,FAIL,209
Sorted list,sort,FAIL,9,-,FAIL,5885
Sorted list,reverse,FAIL,9,-,FAIL,5798
Sorted list,merge,FAIL,23,-,FAIL,3593
Doubly Linked List,singleton,FAIL,13,-,FAIL,171
Doubly Linked List,append,FAIL,20,-,FAIL,4654
Doubly Linked List,delete,FAIL,18,-,FAIL,4767
List of Lists,deallocate,32,3,2.4,11,391
List of Lists,flatten,FAIL,12,-,FAIL,5122
List of Lists,length,FAIL,12,-,FAIL,2613
Binary Tree,deallocate two,FAIL,4,-,FAIL,4350
Binary Tree,copy,FAIL,12,-,FAIL,4549
Binary Tree,flatten,FAIL,10,-,FAIL,2921
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4894
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,4818
BST,insert,FAIL,21,-,FAIL,1911
BST,find max,FAIL,25,-,FAIL,5412
BST,from list,FAIL,15,-,FAIL,3834
Packed Tree,pack,FAIL,36,-,FAIL,2262
