Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,36
Singly Linked List,max,FAIL,22,-,FAIL,1236
Singly Linked List,initialize,13,8,0.9,4,81
Singly Linked List,copy,35,12,1.4,12,204
Singly Linked List,append,60,17,1.9,20,318
Singly Linked List,non-destructive append,66,21,9.3,22,2608
Singly Linked List,intersection,FAIL,16,-,FAIL,2599
Singly Linked List,difference,FAIL,14,-,FAIL,2772
Sorted list,prepend,11,29,0.7,4,41
Sorted list,sort,FAIL,9,-,FAIL,162
Sorted list,reverse,49,9,1.7,13,185
Sorted list,merge,FAIL,23,-,FAIL,2282
Doubly Linked List,singleton,14,13,0.6,5,35
Doubly Linked List,append,FAIL,20,-,FAIL,6488
Doubly Linked List,delete,FAIL,18,-,FAIL,1118
List of Lists,deallocate,32,3,0.8,11,67
List of Lists,flatten,104,12,4.2,35,1163
List of Lists,length,FAIL,12,-,FAIL,3381
Binary Tree,deallocate two,47,4,1.2,16,201
Binary Tree,copy,49,12,5.0,17,1226
Binary Tree,flatten,77,10,1.9,25,280
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,7212
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,5157
BST,insert,FAIL,21,-,FAIL,244
BST,find max,FAIL,25,-,FAIL,2160
BST,from list,FAIL,15,-,FAIL,484
Packed Tree,pack,FAIL,36,-,FAIL,3076
