Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.8,3,73
Singly Linked List,max,FAIL,22,-,FAIL,5931
Singly Linked List,initialize,13,8,5.1,4,3043
Singly Linked List,copy,FAIL,12,-,FAIL,1451
Singly Linked List,append,FAIL,17,-,FAIL,3077
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,6445
Singly Linked List,intersection,FAIL,16,-,FAIL,5404
Singly Linked List,difference,FAIL,14,-,FAIL,3939
Sorted list,prepend,FAIL,29,-,FAIL,562
Sorted list,sort,FAIL,9,-,FAIL,4411
Sorted list,reverse,FAIL,9,-,FAIL,4884
Sorted list,merge,FAIL,23,-,FAIL,3247
Doubly Linked List,singleton,FAIL,13,-,FAIL,379
Doubly Linked List,append,FAIL,20,-,FAIL,3558
Doubly Linked List,delete,FAIL,18,-,FAIL,5350
List of Lists,deallocate,FAIL,3,-,FAIL,1852
List of Lists,flatten,FAIL,12,-,FAIL,2187
List of Lists,length,FAIL,12,-,FAIL,2353
Binary Tree,deallocate two,FAIL,4,-,FAIL,4437
Binary Tree,copy,FAIL,12,-,FAIL,4030
Binary Tree,flatten,FAIL,10,-,FAIL,297
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4696
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3928
BST,insert,FAIL,21,-,FAIL,3595
BST,find max,FAIL,25,-,FAIL,3562
BST,from list,FAIL,15,-,FAIL,1782
Packed Tree,pack,FAIL,36,-,FAIL,2059
