Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,26
Singly Linked List,max,FAIL,22,-,FAIL,473
Singly Linked List,initialize,13,8,0.9,4,114
Singly Linked List,copy,32,12,1.2,11,189
Singly Linked List,append,19,17,1.3,6,198
Singly Linked List,non-destructive append,63,21,5.9,21,2201
Singly Linked List,intersection,FAIL,16,-,FAIL,3498
Singly Linked List,difference,FAIL,14,-,FAIL,3679
Sorted list,prepend,11,29,0.6,4,45
Sorted list,sort,FAIL,9,-,FAIL,163
Sorted list,reverse,39,9,2.1,12,322
Sorted list,merge,FAIL,23,-,FAIL,2051
Doubly Linked List,singleton,14,13,0.5,5,39
Doubly Linked List,append,32,20,3.5,10,1245
Doubly Linked List,delete,FAIL,18,-,FAIL,620
List of Lists,deallocate,32,3,0.7,11,76
List of Lists,flatten,53,12,2.1,17,410
List of Lists,length,FAIL,12,-,FAIL,3571
Binary Tree,deallocate two,47,4,1.0,16,263
Binary Tree,copy,46,12,8.9,16,3007
Binary Tree,flatten,71,10,3.0,23,757
Binary Tree,flatten to dll in place,57,5,3.7,18,1286
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,5765
BST,insert,FAIL,21,-,FAIL,213
BST,find max,FAIL,25,-,FAIL,2619
BST,from list,FAIL,15,-,FAIL,350
Packed Tree,pack,FAIL,36,-,FAIL,3024
