Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,29
Singly Linked List,max,60,22,4.1,17,685
Singly Linked List,initialize,13,8,0.9,4,100
Singly Linked List,copy,32,12,1.3,11,210
Singly Linked List,append,19,17,0.9,6,111
Singly Linked List,non-destructive append,63,21,6.5,21,2592
Singly Linked List,intersection,FAIL,16,-,FAIL,4144
Singly Linked List,difference,71,14,6.2,21,1326
Sorted list,prepend,11,29,0.6,4,44
Sorted list,sort,44,9,1.9,13,311
Sorted list,reverse,36,9,1.3,11,188
Sorted list,merge,FAIL,23,-,FAIL,2567
Doubly Linked List,singleton,14,13,0.5,5,36
Doubly Linked List,append,FAIL,20,-,FAIL,3801
Doubly Linked List,delete,67,18,4.4,19,971
List of Lists,deallocate,32,3,0.7,11,54
List of Lists,flatten,53,12,1.3,17,219
List of Lists,length,73,12,6.8,23,2211
Binary Tree,deallocate two,47,4,0.9,16,213
Binary Tree,copy,FAIL,12,-,FAIL,4808
Binary Tree,flatten,71,10,2.3,23,564
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,4626
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3951
BST,insert,FAIL,21,-,FAIL,3864
BST,find max,FAIL,25,-,FAIL,2099
BST,from list,85,15,10.6,27,1802
Packed Tree,pack,FAIL,36,-,FAIL,2982
