Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.3,4,14
Integers,min of two,FAIL,9,-,FAIL,37
Singly Linked List,length,21,15,1.2,6,159
Singly Linked List,min,FAIL,22,-,FAIL,1135
Singly Linked List,singleton,11,12,0.6,4,44
Singly Linked List,initialize,13,8,1.0,4,140
Singly Linked List,append,19,17,1.4,6,218
Singly Linked List,delete,FAIL,16,-,FAIL,1101
Singly Linked List,append three,58,21,2.5,18,636
Singly Linked List,non-destructive append,63,21,6.6,21,2579
Singly Linked List,deduplicate,FAIL,10,-,FAIL,356
Sorted list,prepend,11,29,0.7,4,52
Sorted list,reverse,36,9,1.5,11,199
Sorted list,merge,FAIL,23,-,FAIL,1376
Doubly Linked List,singleton,14,13,0.6,5,46
Doubly Linked List,copy,FAIL,15,-,FAIL,5807
Doubly Linked List,append,FAIL,20,-,FAIL,4566
Doubly Linked List,delete,FAIL,18,-,FAIL,3322
Doubly Linked List,single to double,66,11,1.6,23,266
List of Lists,deallocate,32,3,0.7,11,54
Binary Tree,size,35,13,1.4,10,252
Binary Tree,deallocate two,47,4,0.9,16,213
Binary Tree,flatten w/append,48,10,1.1,17,137
Binary Tree,flatten w/acc,63,17,1.4,21,208
Binary Tree,flatten,71,10,2.3,23,539
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3667
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3512
BST,rotate left,FAIL,74,-,FAIL,2475
BST,find min,FAIL,25,-,FAIL,1754
BST,to sorted list,67,15,4.7,21,1133
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,copy,FAIL,12,-,FAIL,3209
