Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,12
Integers,min of two,10,9,0.5,3,25
Singly Linked List,length,21,15,1.3,6,165
Singly Linked List,min,64,22,5.1,17,747
Singly Linked List,singleton,11,12,0.6,4,36
Singly Linked List,initialize,13,8,1.1,4,112
Singly Linked List,append,47,17,1.7,15,292
Singly Linked List,delete,41,16,2.4,12,376
Singly Linked List,append three,76,21,2.3,23,587
Singly Linked List,non-destructive append,63,21,8.3,21,2519
Singly Linked List,deduplicate,80,10,2.8,24,450
Sorted list,prepend,11,29,0.7,4,42
Sorted list,reverse,36,9,1.6,11,167
Sorted list,merge,FAIL,23,-,FAIL,1536
Doubly Linked List,singleton,14,13,0.6,5,38
Doubly Linked List,copy,FAIL,15,-,FAIL,4839
Doubly Linked List,append,FAIL,20,-,FAIL,4286
Doubly Linked List,delete,79,18,8.4,23,3739
Doubly Linked List,single to double,66,11,1.7,23,230
List of Lists,deallocate,32,3,0.7,11,54
Binary Tree,size,35,13,1.3,10,245
Binary Tree,deallocate two,47,4,0.9,16,213
Binary Tree,flatten w/append,48,10,1.1,17,124
Binary Tree,flatten w/acc,63,17,1.4,21,187
Binary Tree,flatten,74,10,2.4,24,519
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3312
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,2640
BST,rotate left,FAIL,74,-,FAIL,2147
BST,find min,FAIL,25,-,FAIL,1426
BST,to sorted list,FAIL,15,-,FAIL,1835
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,copy,FAIL,12,-,FAIL,3002
