Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,359
Integers,min of two,10,9,0.9,3,74
Singly Linked List,length,FAIL,15,-,FAIL,5098
Singly Linked List,min,FAIL,22,-,FAIL,3967
Singly Linked List,singleton,FAIL,12,-,FAIL,340
Singly Linked List,initialize,13,8,3.3,4,1248
Singly Linked List,append,FAIL,17,-,FAIL,4447
Singly Linked List,delete,FAIL,16,-,FAIL,3680
Singly Linked List,append three,FAIL,21,-,FAIL,3432
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,4251
Singly Linked List,deduplicate,FAIL,10,-,FAIL,4298
Sorted list,prepend,FAIL,29,-,FAIL,437
Sorted list,reverse,FAIL,9,-,FAIL,2793
Sorted list,merge,FAIL,23,-,FAIL,1758
Doubly Linked List,singleton,FAIL,13,-,FAIL,361
Doubly Linked List,copy,FAIL,15,-,FAIL,2711
Doubly Linked List,append,FAIL,20,-,FAIL,3742
Doubly Linked List,delete,FAIL,18,-,FAIL,3061
Doubly Linked List,single to double,FAIL,11,-,FAIL,4413
List of Lists,deallocate,FAIL,3,-,FAIL,3399
Binary Tree,size,FAIL,13,-,FAIL,6467
Binary Tree,deallocate two,FAIL,4,-,FAIL,4572
Binary Tree,flatten w/append,FAIL,10,-,FAIL,4721
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,3906
Binary Tree,flatten,FAIL,10,-,FAIL,4916
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3721
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3601
BST,rotate left,FAIL,74,-,FAIL,4139
BST,find min,FAIL,25,-,FAIL,2551
BST,to sorted list,FAIL,15,-,FAIL,2905
Rose Tree,deallocate,24,2,2.0,9,360
Rose Tree,copy,FAIL,12,-,FAIL,2867
