Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,9
Integers,min of two,FAIL,9,-,FAIL,38
Singly Linked List,length,21,15,1.6,6,222
Singly Linked List,min,FAIL,22,-,FAIL,998
Singly Linked List,singleton,11,12,0.5,4,32
Singly Linked List,initialize,13,8,1.2,4,148
Singly Linked List,append,48,17,2.1,16,380
Singly Linked List,delete,FAIL,16,-,FAIL,1035
Singly Linked List,append three,81,21,4.0,26,1129
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,2175
Singly Linked List,deduplicate,FAIL,10,-,FAIL,340
Sorted list,prepend,11,29,0.7,4,45
Sorted list,reverse,49,9,5.1,13,941
Sorted list,merge,FAIL,23,-,FAIL,1318
Doubly Linked List,singleton,14,13,0.6,5,35
Doubly Linked List,copy,FAIL,15,-,FAIL,3466
Doubly Linked List,append,48,20,6.4,16,2097
Doubly Linked List,delete,FAIL,18,-,FAIL,1114
Doubly Linked List,single to double,69,11,2.9,24,521
List of Lists,deallocate,32,3,0.9,11,76
Binary Tree,size,32,13,2.0,9,348
Binary Tree,deallocate two,47,4,1.4,16,213
Binary Tree,flatten w/append,51,10,2.1,18,363
Binary Tree,flatten w/acc,66,17,2.5,22,407
Binary Tree,flatten,77,10,4.5,25,1175
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3719
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3759
BST,rotate left,FAIL,74,-,FAIL,255
BST,find min,FAIL,25,-,FAIL,1235
BST,to sorted list,FAIL,15,-,FAIL,1533
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,copy,FAIL,12,-,FAIL,3438
