Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,240
Integers,min of two,10,9,0.7,3,54
Singly Linked List,length,FAIL,15,-,FAIL,6435
Singly Linked List,min,FAIL,22,-,FAIL,4190
Singly Linked List,singleton,FAIL,12,-,FAIL,209
Singly Linked List,initialize,13,8,2.9,4,1420
Singly Linked List,append,29,17,4.0,10,1265
Singly Linked List,delete,FAIL,16,-,FAIL,2572
Singly Linked List,append three,FAIL,21,-,FAIL,6888
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3568
Singly Linked List,deduplicate,FAIL,10,-,FAIL,2296
Sorted list,prepend,FAIL,29,-,FAIL,283
Sorted list,reverse,36,9,8.2,11,2860
Sorted list,merge,FAIL,23,-,FAIL,2291
Doubly Linked List,singleton,FAIL,13,-,FAIL,209
Doubly Linked List,copy,FAIL,15,-,FAIL,2430
Doubly Linked List,append,FAIL,20,-,FAIL,3043
Doubly Linked List,delete,FAIL,18,-,FAIL,3420
Doubly Linked List,single to double,FAIL,11,-,FAIL,4387
List of Lists,deallocate,32,3,2.2,11,486
Binary Tree,size,FAIL,13,-,FAIL,2621
Binary Tree,deallocate two,FAIL,4,-,FAIL,5556
Binary Tree,flatten w/append,48,10,3.4,17,1061
Binary Tree,flatten w/acc,73,17,3.4,25,1165
Binary Tree,flatten,FAIL,10,-,FAIL,3364
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,5214
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,4950
BST,rotate left,FAIL,74,-,FAIL,3783
BST,find min,FAIL,25,-,FAIL,2749
BST,to sorted list,FAIL,15,-,FAIL,2020
Rose Tree,deallocate,24,2,1.3,9,204
Rose Tree,copy,FAIL,12,-,FAIL,2300
