Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.3,4,18
Integers,min of two,FAIL,9,-,FAIL,70
Singly Linked List,length,FAIL,15,-,FAIL,195
Singly Linked List,min,FAIL,22,-,FAIL,303
Singly Linked List,singleton,11,12,0.7,4,69
Singly Linked List,initialize,13,8,1.3,4,171
Singly Linked List,append,FAIL,17,-,FAIL,1408
Singly Linked List,delete,FAIL,16,-,FAIL,434
Singly Linked List,append three,FAIL,21,-,FAIL,2340
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,660
Singly Linked List,deduplicate,FAIL,10,-,FAIL,47
Sorted list,prepend,11,29,0.9,4,76
Sorted list,reverse,FAIL,9,-,FAIL,1162
Sorted list,merge,FAIL,23,-,FAIL,1823
Doubly Linked List,singleton,14,13,0.8,5,73
Doubly Linked List,copy,FAIL,15,-,FAIL,3385
Doubly Linked List,append,FAIL,20,-,FAIL,1458
Doubly Linked List,delete,FAIL,18,-,FAIL,3528
Doubly Linked List,single to double,FAIL,11,-,FAIL,43
List of Lists,deallocate,FAIL,3,-,FAIL,522
Binary Tree,size,FAIL,13,-,FAIL,290
Binary Tree,deallocate two,47,4,1.7,16,370
Binary Tree,flatten w/append,FAIL,10,-,FAIL,37
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,275
Binary Tree,flatten,FAIL,10,-,FAIL,37
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,2639
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3496
BST,rotate left,FAIL,74,-,FAIL,147
BST,find min,FAIL,25,-,FAIL,916
BST,to sorted list,FAIL,15,-,FAIL,53
Rose Tree,deallocate,FAIL,2,-,FAIL,154
Rose Tree,copy,FAIL,12,-,FAIL,3405
