Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,9
Integers,min of two,10,9,0.5,3,23
Singly Linked List,length,21,15,1.1,6,112
Singly Linked List,min,41,22,3.8,11,577
Singly Linked List,singleton,11,12,0.5,4,29
Singly Linked List,initialize,13,8,0.9,4,97
Singly Linked List,append,29,17,1.7,9,286
Singly Linked List,delete,41,16,2.0,12,268
Singly Linked List,append three,55,21,3.2,16,911
Singly Linked List,non-destructive append,66,21,6.3,22,2289
Singly Linked List,deduplicate,76,10,9.9,23,1471
Sorted list,prepend,11,29,0.6,4,37
Sorted list,reverse,49,9,2.1,13,269
Sorted list,merge,FAIL,23,-,FAIL,1257
Doubly Linked List,singleton,14,13,0.5,5,32
Doubly Linked List,copy,68,15,7.1,23,2628
Doubly Linked List,append,32,20,3.5,10,1002
Doubly Linked List,delete,67,18,4.5,19,934
Doubly Linked List,single to double,69,11,1.5,24,200
List of Lists,deallocate,32,3,0.9,11,76
Binary Tree,size,32,13,1.3,9,184
Binary Tree,deallocate two,47,4,1.3,16,263
Binary Tree,flatten w/append,51,10,1.6,18,268
Binary Tree,flatten w/acc,66,17,1.9,22,322
Binary Tree,flatten,74,10,2.8,24,628
Binary Tree,flatten to dll in place,51,5,4.1,16,1258
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,3537
BST,rotate left,15,74,5.9,5,919
BST,find min,FAIL,25,-,FAIL,1840
BST,to sorted list,67,15,8.8,21,2031
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,copy,FAIL,12,-,FAIL,3202
