Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.3,4,14
Integers,min of two,FAIL,9,-,FAIL,37
Singly Linked List,length,21,15,1.3,6,153
Singly Linked List,min,FAIL,22,-,FAIL,1050
Singly Linked List,singleton,11,12,0.6,4,42
Singly Linked List,initialize,13,8,1.1,4,138
Singly Linked List,append,45,17,1.5,15,229
Singly Linked List,delete,FAIL,16,-,FAIL,1161
Singly Linked List,append three,96,21,3.2,31,810
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,3236
Singly Linked List,deduplicate,FAIL,10,-,FAIL,379
Sorted list,prepend,11,29,0.8,4,50
Sorted list,reverse,36,9,1.7,11,182
Sorted list,merge,FAIL,23,-,FAIL,1435
Doubly Linked List,singleton,14,13,0.6,5,46
Doubly Linked List,copy,FAIL,15,-,FAIL,4805
Doubly Linked List,append,57,20,5.8,19,2355
Doubly Linked List,delete,FAIL,18,-,FAIL,3354
Doubly Linked List,single to double,66,11,1.8,23,254
List of Lists,deallocate,32,3,0.6,11,54
Binary Tree,size,35,13,1.1,10,147
Binary Tree,deallocate two,47,4,0.9,16,213
Binary Tree,flatten w/append,48,10,1.1,17,134
Binary Tree,flatten w/acc,63,17,1.9,21,326
Binary Tree,flatten,74,10,2.6,24,576
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,3225
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,2962
BST,rotate left,FAIL,74,-,FAIL,1918
BST,find min,FAIL,25,-,FAIL,1362
BST,to sorted list,FAIL,15,-,FAIL,2256
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,copy,FAIL,12,-,FAIL,3133
