Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,37
Singly Linked List,max,FAIL,22,-,FAIL,1137
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,append,19,17,1.4,6,218
Singly Linked List,delete,FAIL,16,-,FAIL,1101
Singly Linked List,deallocate two,25,4,0.6,9,66
Singly Linked List,non-destructive append,63,21,6.5,21,2579
Singly Linked List,deduplicate,FAIL,10,-,FAIL,356
Sorted list,prepend,11,29,0.7,4,52
Sorted list,insert,FAIL,21,-,FAIL,81
Sorted list,reverse,36,9,1.5,11,199
Doubly Linked List,single to double,66,11,1.6,23,266
List of Lists,deallocate,32,3,0.6,11,54
List of Lists,flatten,53,12,1.5,17,253
Binary Tree,size,35,13,1.3,10,252
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,deallocate two,47,4,0.9,16,213
Binary Tree,flatten w/append,48,10,1.1,17,137
BST,rotate left,FAIL,74,-,FAIL,2476
BST,from list,FAIL,15,-,FAIL,431
BST,to sorted list,67,15,4.8,21,1133
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,3135
Packed Tree,pack,FAIL,36,-,FAIL,2380
