Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,45
Singly Linked List,max,FAIL,22,-,FAIL,642
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,append,19,17,1.5,6,227
Singly Linked List,delete,FAIL,16,-,FAIL,978
Singly Linked List,deallocate two,25,4,0.7,9,68
Singly Linked List,non-destructive append,63,21,5.9,21,2221
Singly Linked List,deduplicate,FAIL,10,-,FAIL,2131
Sorted list,prepend,11,29,0.8,4,66
Sorted list,insert,FAIL,21,-,FAIL,93
Sorted list,reverse,36,9,2.6,11,409
Doubly Linked List,single to double,66,11,1.7,23,266
List of Lists,deallocate,32,3,0.9,11,89
List of Lists,flatten,53,12,2.5,17,454
Binary Tree,size,32,13,1.4,9,227
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,deallocate two,47,4,1.2,16,213
Binary Tree,flatten w/append,48,10,2.1,17,423
BST,rotate left,FAIL,74,-,FAIL,175
BST,from list,FAIL,15,-,FAIL,425
BST,to sorted list,FAIL,15,-,FAIL,2234
Rose Tree,deallocate,24,2,0.7,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,3290
Packed Tree,pack,FAIL,36,-,FAIL,2456
