Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.5,3,25
Singly Linked List,max,FAIL,22,-,FAIL,1123
Singly Linked List,deallocate,11,2,0.4,4,16
Singly Linked List,append,19,17,1.5,6,240
Singly Linked List,delete,41,16,2.8,12,422
Singly Linked List,deallocate two,25,4,0.7,9,66
Singly Linked List,non-destructive append,66,21,8.0,22,2231
Singly Linked List,deduplicate,FAIL,10,-,FAIL,1884
Sorted list,prepend,11,29,0.7,4,45
Sorted list,insert,65,21,2.3,19,288
Sorted list,reverse,49,9,5.0,13,952
Doubly Linked List,single to double,69,11,2.9,24,522
List of Lists,deallocate,32,3,0.8,11,76
List of Lists,flatten,72,12,3.0,24,692
Binary Tree,size,32,13,1.6,9,279
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,deallocate two,47,4,1.2,16,213
Binary Tree,flatten w/append,51,10,2.1,18,363
BST,rotate left,FAIL,74,-,FAIL,1779
BST,from list,FAIL,15,-,FAIL,1031
BST,to sorted list,FAIL,15,-,FAIL,1532
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,2549
Packed Tree,pack,FAIL,36,-,FAIL,2119
