Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,10,9,0.7,3,62
Singly Linked List,max,FAIL,22,-,FAIL,5848
Singly Linked List,deallocate,11,2,0.6,4,44
Singly Linked List,append,FAIL,17,-,FAIL,2727
Singly Linked List,delete,FAIL,16,-,FAIL,2673
Singly Linked List,deallocate two,25,4,1.5,9,272
Singly Linked List,non-destructive append,FAIL,21,-,FAIL,4345
Singly Linked List,deduplicate,FAIL,10,-,FAIL,1913
Sorted list,prepend,FAIL,29,-,FAIL,342
Sorted list,insert,FAIL,21,-,FAIL,1591
Sorted list,reverse,FAIL,9,-,FAIL,5332
Doubly Linked List,single to double,FAIL,11,-,FAIL,716
List of Lists,deallocate,32,3,2.5,11,486
List of Lists,flatten,FAIL,12,-,FAIL,2683
Binary Tree,size,FAIL,13,-,FAIL,7645
Binary Tree,deallocate,16,2,1.0,6,121
Binary Tree,deallocate two,FAIL,4,-,FAIL,4791
Binary Tree,flatten w/append,FAIL,10,-,FAIL,3255
BST,rotate left,FAIL,74,-,FAIL,4270
BST,from list,FAIL,15,-,FAIL,2652
BST,to sorted list,FAIL,15,-,FAIL,4063
Rose Tree,deallocate,24,2,1.5,9,204
Rose Tree,flatten,FAIL,10,-,FAIL,289
Packed Tree,pack,FAIL,36,-,FAIL,1824
