Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,min of two,FAIL,9,-,FAIL,22
Singly Linked List,max,FAIL,22,-,FAIL,395
Singly Linked List,deallocate,11,2,0.3,4,16
Singly Linked List,append,19,17,1.5,6,219
Singly Linked List,delete,FAIL,16,-,FAIL,554
Singly Linked List,deallocate two,25,4,0.6,9,68
Singly Linked List,non-destructive append,66,21,7.7,22,2162
Singly Linked List,deduplicate,FAIL,10,-,FAIL,187
Sorted list,prepend,11,29,0.6,4,36
Sorted list,insert,FAIL,21,-,FAIL,58
Sorted list,reverse,49,9,2.3,13,313
Doubly Linked List,single to double,69,11,1.6,24,213
List of Lists,deallocate,32,3,0.8,11,89
List of Lists,flatten,56,12,2.2,18,401
Binary Tree,size,32,13,1.6,9,330
Binary Tree,deallocate,16,2,0.4,6,26
Binary Tree,deallocate two,47,4,1.0,16,263
Binary Tree,flatten w/append,51,10,1.6,18,265
BST,rotate left,FAIL,74,-,FAIL,163
BST,from list,FAIL,15,-,FAIL,300
BST,to sorted list,FAIL,15,-,FAIL,2293
Rose Tree,deallocate,24,2,0.6,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,3391
Packed Tree,pack,FAIL,36,-,FAIL,2297
