Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,62
Singly Linked List,max,FAIL,22,-,FAIL,1256
Singly Linked List,min,FAIL,22,-,FAIL,1214
Singly Linked List,singleton,11,12,0.7,4,158
Singly Linked List,append,29,17,2.4,10,974
Singly Linked List,delete,FAIL,16,-,FAIL,1317
Singly Linked List,deallocate two,25,4,0.9,9,279
Singly Linked List,union,FAIL,14,-,FAIL,1214
Singly Linked List,intersection,FAIL,16,-,FAIL,1964
Singly Linked List,difference,FAIL,14,-,FAIL,1061
Sorted list,sort,FAIL,9,-,FAIL,1356
Sorted list,reverse,FAIL,9,-,FAIL,1450
Sorted list,merge,FAIL,23,-,FAIL,1299
Doubly Linked List,singleton,14,13,0.9,5,172
Doubly Linked List,copy,FAIL,15,-,FAIL,1432
Doubly Linked List,single to double,FAIL,11,-,FAIL,1451
List of Lists,flatten,FAIL,12,-,FAIL,1255
Binary Tree,deallocate,16,2,0.6,6,123
Binary Tree,deallocate two,FAIL,4,-,FAIL,1996
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,1273
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,1349
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,1532
BST,rotate left,FAIL,74,-,FAIL,1370
BST,rotate right,FAIL,74,-,FAIL,1182
BST,find max,FAIL,25,-,FAIL,1136
BST,delete root,FAIL,41,-,FAIL,1030
BST,from list,FAIL,15,-,FAIL,901
BST,to sorted list,FAIL,15,-,FAIL,1229
Rose Tree,deallocate,24,2,0.8,9,172
Rose Tree,flatten,FAIL,10,-,FAIL,1082
