Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,13
Singly Linked List,max,FAIL,22,-,FAIL,768
Singly Linked List,min,FAIL,22,-,FAIL,763
Singly Linked List,singleton,FAIL,12,-,FAIL,19
Singly Linked List,append,19,17,0.8,6,139
Singly Linked List,delete,38,16,1.1,11,176
Singly Linked List,deallocate two,25,4,0.4,9,64
Singly Linked List,union,FAIL,14,-,FAIL,1031
Singly Linked List,intersection,FAIL,16,-,FAIL,1196
Singly Linked List,difference,FAIL,14,-,FAIL,1042
Sorted list,sort,FAIL,9,-,FAIL,826
Sorted list,reverse,36,9,1.1,11,213
Sorted list,merge,FAIL,23,-,FAIL,871
Doubly Linked List,singleton,FAIL,13,-,FAIL,19
Doubly Linked List,copy,FAIL,15,-,FAIL,1232
Doubly Linked List,single to double,FAIL,11,-,FAIL,140
List of Lists,flatten,56,12,1.4,18,323
Binary Tree,deallocate,16,2,0.3,6,25
Binary Tree,deallocate two,47,4,1.1,16,272
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,735
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,982
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,1063
BST,rotate left,FAIL,74,-,FAIL,698
BST,rotate right,FAIL,74,-,FAIL,642
BST,find max,FAIL,25,-,FAIL,730
BST,delete root,FAIL,41,-,FAIL,648
BST,from list,FAIL,15,-,FAIL,605
BST,to sorted list,FAIL,15,-,FAIL,832
Rose Tree,deallocate,30,2,0.5,11,61
Rose Tree,flatten,80,10,1.9,25,452
